x0,x1,x2,y
44,68,28,-1
78,69,66,1
82,15,48,1
51,1,60,1
19,2,84,1
61,78,60,-1
68,73,84,1
90,49,91,1
35,7,95,1
43,9,31,1
36,62,54,-1
88,50,66,1
17,42,21,-1
26,19,61,1
88,44,7,1
18,53,100,-1
43,22,80,1
13,47,95,-1
35,13,5,1
75,18,64,1
49,86,36,-1
6,28,70,1
16,96,73,-1
40,70,85,-1
82,94,15,-1
5,52,9,-1
48,80,17,-1
71,2,30,1
46,8,27,1
7,50,100,-1
17,71,68,-1
41,4,72,1
90,16,38,1
74,10,43,1
31,97,49,-1
48,55,92,1
58,46,44,1
5,11,92,1
86,17,6,1
88,82,42,-1
64,54,76,1
35,78,2,-1
82,17,97,1
14,11,84,1
92,26,37,1
57,96,65,-1
41,77,49,-1
30,45,96,1
90,73,94,1
60,70,36,-1
62,52,98,1
27,71,5,-1
83,97,25,-1
38,56,5,-1
22,73,35,-1
74,54,53,1
87,67,65,1
27,36,36,-1
45,76,6,-1
27,10,30,1
26,80,31,-1
71,36,90,1
32,68,2,-1
14,22,7,-1
66,24,61,1
34,16,89,1
10,13,36,1
66,15,27,1
29,92,48,-1
89,51,59,1
76,31,77,1
2,50,80,-1
13,66,85,-1
85,29,89,1
15,71,59,-1
78,31,82,1
2,21,51,-1
65,8,85,1
69,41,24,1
3,12,19,-1
89,15,14,1
88,69,13,-1
41,53,19,-1
99,27,67,1
59,82,99,-1
16,73,69,-1
18,68,71,-1
34,31,18,-1
50,10,75,1
7,88,28,-1
71,47,68,1
18,76,2,-1
78,15,2,1
29,87,14,-1
92,46,98,1
36,7,73,1
33,46,94,1
50,4,97,1
23,13,98,1
73,60,42,-1
28,65,1,-1
82,20,4,1
58,24,60,1
80,67,47,-1
99,33,82,1
20,89,87,-1
24,53,19,-1
27,65,40,-1
14,70,61,-1
94,10,89,1
70,38,26,1
15,76,84,-1
56,31,49,1
37,81,48,-1
56,52,100,1
22,48,26,-1
97,27,34,1
33,10,94,1
65,10,88,1
11,18,19,-1
68,86,1,-1
49,18,74,1
95,63,66,1
37,21,83,1
59,37,5,-1
5,95,28,-1
43,81,32,-1
69,19,41,1
5,30,60,-1
15,37,95,1
94,28,53,1
87,85,35,-1
34,92,71,-1
20,7,13,1
61,28,100,1
56,44,18,-1
5,72,48,-1
68,11,61,1
75,95,85,-1
86,32,96,1
84,62,52,1
40,29,45,1
60,11,34,1
92,77,70,1
88,26,42,1
10,95,10,-1
51,15,99,1
6,35,36,-1
59,85,84,-1
56,75,2,-1
11,22,54,1
7,56,5,-1
34,72,50,-1
38,49,5,-1
99,37,87,1
53,19,26,1
56,81,50,-1
71,6,65,1
26,83,18,-1
74,9,43,1
26,62,0,-1
41,10,46,1
81,68,79,1
10,67,53,-1
83,22,66,1
68,44,3,-1
12,7,33,1
49,60,41,-1
98,6,66,1
59,69,77,-1
71,47,78,1
65,76,37,-1
59,4,17,1
83,24,1,1
93,11,20,1
69,7,0,1
57,24,18,1
1,36,62,-1
4,15,41,1
26,61,72,-1
43,46,71,1
12,43,56,-1
43,54,6,-1
6,100,15,-1
56,55,90,1
38,66,41,-1
35,67,41,-1
72,3,21,1
55,57,98,1
55,12,93,1
53,25,46,1
14,71,65,-1
1,3,68,1
56,29,11,1
16,14,17,1
38,70,36,-1
24,29,59,1
19,34,49,-1
14,48,32,-1
38,41,92,1
23,23,4,-1
92,53,60,1
9,81,70,-1
23,9,93,1
77,84,19,-1
5,22,46,-1
9,3,60,1
18,25,32,-1
38,73,89,-1
12,60,95,-1
94,99,9,-1
59,83,56,-1
17,83,52,-1
79,71,1,-1
45,67,72,-1
69,41,20,1
17,32,74,1
35,23,1,-1
63,39,74,1
80,35,33,1
55,95,94,-1
94,24,83,1
20,88,22,-1
3,33,65,-1
37,71,41,-1
23,59,82,-1
29,56,60,-1
67,28,95,1
100,3,32,1
30,59,46,-1
86,94,55,-1
28,97,60,-1
75,26,72,1
52,43,55,1
53,45,54,1
65,97,56,-1
34,26,64,1
12,42,39,-1
19,82,22,-1
12,78,40,-1
84,77,63,-1
36,87,28,-1
34,61,88,-1
31,53,65,-1
30,6,52,1
53,6,93,1
87,89,27,-1
65,56,70,1
